date_time,vehicle_code,sensor_code,sensor,latitude,longitude,altitude,gps_ok,depth_m,pressure_m,temperature_c,conductivity_ms_cm,salinity_psu,density_kg_m3,sound_velocity_ms,mqtt_publish_timestamp
2026-04-10T13:59:43.308776+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1925437,106.826958,0.0,False,10.15,10.35,31.79,53.12,33.19,1017.98,1548.18,2026-04-10T13:59:43.309
2026-04-10T13:59:44.308789+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1909955,106.8255713,0.0,False,7.13,7.28,30.25,52.9,32.07,1017.49,1544.76,2026-04-10T13:59:44.309
2026-04-10T13:59:45.309592+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1896303,106.8242083,0.0,False,2.19,2.24,29.69,51.84,31.84,1016.55,1540.81,2026-04-10T13:59:45.310
2026-04-10T13:59:46.309197+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1884595,106.8228919,15.32,False,0.5,0.51,30.42,52.13,31.66,1015.47,1541.35,2026-04-10T13:59:46.309
2026-04-10T13:59:47.310358+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1874907,106.8216423,15.33,False,0.5,0.51,29.2,52.58,31.34,1015.67,1540.9,2026-04-10T13:59:47.311
2026-04-10T13:59:48.310693+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.186727,106.820477,15.5,False,0.5,0.51,28.63,51.81,31.46,1016.84,1540.44,2026-04-10T13:59:48.311
2026-04-10T13:59:49.310288+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1861676,106.8194105,15.32,False,0.5,0.51,27.96,51.13,30.55,1016.84,1535.46,2026-04-10T13:59:49.311
2026-04-10T13:59:50.310484+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1858076,106.8184535,15.44,False,15.51,15.82,26.04,51.95,31.49,1017.53,1531.79,2026-04-10T13:59:50.311
2026-04-10T13:59:51.310323+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1856384,106.8176137,15.53,False,13.62,13.9,29.1,52.56,32.71,1016.88,1542.52,2026-04-10T13:59:51.311
2026-04-10T13:59:52.310422+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1856478,106.8168946,15.25,False,4.98,5.08,32.66,52.43,32.5,1015.67,1549.84,2026-04-10T13:59:52.311
2026-04-10T13:59:53.310232+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1858206,106.8162966,15.29,False,3.12,3.18,30.98,52.9,32.62,1016.81,1544.0,2026-04-10T13:59:53.311
2026-04-10T13:59:54.311283+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1861391,106.8158161,15.49,False,4.43,4.52,29.3,52.72,32.2,1017.72,1539.85,2026-04-10T13:59:54.312
2026-04-10T13:59:55.310239+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1865832,106.8154465,15.29,False,8.09,8.25,28.81,51.53,31.47,1017.28,1540.65,2026-04-10T13:59:55.311
2026-04-10T13:59:56.311596+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1871312,106.815178,15.32,False,10.86,11.08,27.59,51.85,32.18,1017.2,1538.78,2026-04-10T13:59:56.312
2026-04-10T13:59:57.309191+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1877605,106.814998,15.32,False,26.42,26.95,26.84,52.55,32.74,1017.11,1535.34,2026-04-10T13:59:57.309
2026-04-10T13:59:58.309263+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1884477,106.8148917,15.32,False,26.65,27.19,26.93,51.62,32.15,1016.92,1535.02,2026-04-10T13:59:58.309
2026-04-10T13:59:59.309170+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1891699,106.8148423,15.36,False,14.88,15.18,26.82,51.35,31.88,1017.65,1536.86,2026-04-10T13:59:59.309
2026-04-10T14:00:00.309395+07:00,USV-001,CTD-MIDAS-3000,CTD,-6.1899045,106.8148316,15.29,False,15.01,15.31,29.34,52.68,31.82,1017.61,1542.17,2026-04-10T14:00:00.309
